date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:17:50	44503/44503	---M-Z	200	added ('OK')	text/html	etag:%22add7-5df2f963bd345-gzip%22	https://cavistar.websitelayout.net//html/index.html	C:/My%20Web%20Sites/Code_Make/cavistar.websitelayout.net/html/index.html	(from )
10:17:50	289/289	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2016%20Sep%202024%2004:47:50%20GMT	https://cavistar.websitelayout.net/robots.txt		(from )
10:17:50	4286/4286	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%2210be-5df2f9656ecb9%22	https://cavistar.websitelayout.net//html/assets/img/favicon.ico	C:/My%20Web%20Sites/Code_Make/cavistar.websitelayout.net/html/assets/img/favicon.ico	(from https://cavistar.websitelayout.net//html/index.html)
10:17:50	56517/56517	---M-Z	200	added ('OK')	text/css	etag:%22dcc5-5df2f988f0935-gzip%22	https://cavistar.websitelayout.net//html/assets/libs/font-awesome/css/fontawesome-all.min.css	C:/My%20Web%20Sites/Code_Make/cavistar.websitelayout.net/html/assets/libs/font-awesome/css/fontawesome-all.min.css	(from https://cavistar.websitelayout.net//html/index.html)
10:17:51	321/321	---M-Z	200	added ('OK')	text/css	etag:%22141-5df2f98e650ce-gzip%22	https://cavistar.websitelayout.net//html/assets/libs/jarallax/dist/jarallax.css	C:/My%20Web%20Sites/Code_Make/cavistar.websitelayout.net/html/assets/libs/jarallax/dist/jarallax.css	(from https://cavistar.websitelayout.net//html/index.html)
10:17:51	3351/3351	---M-Z	200	added ('OK')	text/css	etag:%22d17-5df2f99901d40-gzip%22	https://cavistar.websitelayout.net//html/assets/libs/owl-carousel/dist/css/owl.carousel.min.css	C:/My%20Web%20Sites/Code_Make/cavistar.websitelayout.net/html/assets/libs/owl-carousel/dist/css/owl.carousel.min.css	(from https://cavistar.websitelayout.net//html/index.html)
10:17:51	1013/1013	---M-Z	200	added ('OK')	text/css	etag:%223f5-5df2f9991c31f-gzip%22	https://cavistar.websitelayout.net//html/assets/libs/owl-carousel/dist/css/owl.theme.default.min.css	C:/My%20Web%20Sites/Code_Make/cavistar.websitelayout.net/html/assets/libs/owl-carousel/dist/css/owl.theme.default.min.css	(from https://cavistar.websitelayout.net//html/index.html)
10:17:51	29706/29706	---M-Z	200	added ('OK')	text/css	etag:%22740a-5df2f98f92ce5-gzip%22	https://cavistar.websitelayout.net//html/assets/libs/quform/css/base.css	C:/My%20Web%20Sites/Code_Make/cavistar.websitelayout.net/html/assets/libs/quform/css/base.css	(from https://cavistar.websitelayout.net//html/index.html)
10:17:52	904186/904186	---MCZ	200	added ('OK')	text/css	etag:%22dcbfa-5df2f965229fb-gzip%22	https://cavistar.websitelayout.net//html/assets/css/theme.css	C:/My%20Web%20Sites/Code_Make/cavistar.websitelayout.net/html/assets/css/theme.css	(from https://cavistar.websitelayout.net//html/index.html)
10:17:52	5401/5401	---M--	200	added ('OK')	image/svg+xml	etag:%221519-5df2f96f9086f%22	https://cavistar.websitelayout.net//html/assets/img/logos/logo.svg	C:/My%20Web%20Sites/Code_Make/cavistar.websitelayout.net/html/assets/img/logos/logo.svg	(from https://cavistar.websitelayout.net//html/index.html)
10:17:52	46953/46953	---M-Z	200	added ('OK')	text/html	etag:%22b769-5df2f963088aa-gzip%22	https://cavistar.websitelayout.net//html/business.html	C:/My%20Web%20Sites/Code_Make/cavistar.websitelayout.net/html/business.html	(from https://cavistar.websitelayout.net//html/index.html)
10:17:52	40973/40973	---M-Z	200	added ('OK')	text/html	etag:%22a00d-5df2f9646c020-gzip%22	https://cavistar.websitelayout.net//html/startup.html	C:/My%20Web%20Sites/Code_Make/cavistar.websitelayout.net/html/startup.html	(from https://cavistar.websitelayout.net//html/index.html)
10:17:52	31588/31588	---M-Z	200	added ('OK')	text/html	etag:%227b64-5df2f96345169-gzip%22	https://cavistar.websitelayout.net//html/classic.html	C:/My%20Web%20Sites/Code_Make/cavistar.websitelayout.net/html/classic.html	(from https://cavistar.websitelayout.net//html/index.html)
10:17:53	33744/33744	---M-Z	200	added ('OK')	text/html	etag:%2283d0-5df2f963f4de4-gzip%22	https://cavistar.websitelayout.net//html/marketing.html	C:/My%20Web%20Sites/Code_Make/cavistar.websitelayout.net/html/marketing.html	(from https://cavistar.websitelayout.net//html/index.html)
10:17:53	47130/47130	---M-Z	200	added ('OK')	text/html	etag:%22b81a-5df2f964623e1-gzip%22	https://cavistar.websitelayout.net//html/saas.html	C:/My%20Web%20Sites/Code_Make/cavistar.websitelayout.net/html/saas.html	(from https://cavistar.websitelayout.net//html/index.html)
